model_name,has_pt,has_onnx,model_type
Urology_1-2-7val640rezize_4.36.0,True,False,unknown
Urology_yolov11x-seg_3-13-16-17val640rezize_1_4.40.0,True,False,yolo
Urology_yolov9c-seg_3-13-16-17val640rezize-yoloTuring_4.38.1,True,False,yolo
Urology_yolov9c-seg_3-13-16-17val640rezize_4.38.0,True,False,yolo
urology_FlexibleUNet_efficientnet-b8_urology-200resize-DiceFocalLoss_4.36.1_best,False,True,unet
urology_FlexibleUNet_efficientnet-b8_urology-200resize-DiceFocalLoss_f1_4.36.3_best,False,True,unet
urology_RegUNet_3000random320resize_DiceFocalLoss_4.34,False,True,unet
urology_SwinUNETR_3000random320resize_DiceFocalLoss_4.34_best,False,True,unet
urology_Unet_3000random320resize_DiceFocalLoss_4.34,False,True,unet
urology_flexibleNet-efficientnet-b8_3000random320resize_20240904_4.34,False,True,unet
urology_yolov8n_3000random640resize_20240811_4.34,True,False,yolo
urology_yolov8x_3000random640resize_20240822_4.34,True,False,yolo
urology_yolov9c_3000random640resize_20240811_4.34,True,False,yolo
urology_yolov9e_3000random640resize_20240822_4.34,True,False,yolo
